n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,n_monotone
2711,0.04869052010328292,0.06711436361314821,0.5975830425229417,1.3783866648124607,0.04750084285728072,0.03176166442207001,0.016309825397827247,0.013389441469013007,1.218110959712012,35,97,0.06711436361314821,0.04869052010328292,1.3783866648124607,2711,132,1.0,0.018287145583989403,0.022727272727272728,0.1111111111111111,0.01,27,35,0.02857142857142857,2.0,259.1430555555556,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,catboost,False,0.0,221,0,
2770,0.053429602888086646,0.08219925682931087,0.6407039190219969,1.5384590636296696,0.051669628724061674,0.038222164199486465,0.020585134343963706,0.01093926820067899,1.8817652119257857,29,119,0.08219925682931087,0.053429602888086646,1.5384590636296696,2770,148,1.0,0.03766774658052074,0.033783783783783786,0.17857142857142858,0.01,28,29,0.10344827586206896,1.0,24.01527777777778,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,catboost,False,0.0,221,0,
2838,0.04439746300211417,0.0676594060562914,0.6452158542866507,1.5239475745059918,0.04304099927535429,0.02736132161633249,0.016482219325522244,0.009857612267250822,1.6720295826890896,27,99,0.0676594060562914,0.04439746300211417,1.5239475745059918,2838,126,1.0,0.00181379372986142,0.007936507936507936,0.03571428571428571,0.01,28,27,0.037037037037037035,2.0,199.7072222222222,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,catboost,False,0.0,221,0,
2813,0.03590472804834696,0.08326800978258925,0.6948910599024505,2.3191377378061735,0.03413729801197312,0.012581614602927537,0.028898352850774214,0.009495982468955442,3.043218850208454,26,75,0.08326800978258925,0.03590472804834696,2.3191377378061735,2813,101,1.0,0.08179012637141717,0.039603960396039604,0.14285714285714285,0.01,28,26,0.07692307692307693,0.0,0.0,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,catboost,False,0.0,221,0,
158,0.04430379746835443,0.07493641820063476,0.6206244087038788,1.6914220108143274,0.042890042408012356,0.021705112295765914,,,,0,7,0.07493641820063476,0.04430379746835443,1.6914220108143274,158,7,1.0,0.0,0.0,0.0,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,catboost,False,0.0,221,0,
2711,0.04869052010328292,0.06920623414204508,0.5719829156238617,1.4213492481748804,0.047869260855611565,0.036503248079754774,0.014377690297389814,0.013389441469013007,1.0738080696393422,35,97,0.06920623414204508,0.04869052010328292,1.4213492481748804,2711,132,1.0,0.03513150616814154,0.03787878787878788,0.18518518518518517,0.01,27,35,0.05714285714285714,1.5,165.6425,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,catboost,False,0.0,221,1,
2770,0.053429602888086646,0.08047003388475144,0.6347073618240666,1.506094553113253,0.051824009208219265,0.040571296116450196,0.017737599121577016,0.01093926820067899,1.6214612162517472,29,119,0.08047003388475144,0.053429602888086646,1.506094553113253,2770,148,1.0,0.004113630606569905,0.006756756756756757,0.03571428571428571,0.01,28,29,0.034482758620689655,2.0,423.2297222222222,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,catboost,False,0.0,221,1,
2838,0.04439746300211417,0.07690173162697664,0.6611415460972985,1.7321199552171402,0.04283489777159227,0.02671852494868668,0.018736215292432093,0.009857612267250822,1.9006849513322777,27,99,0.07690173162697664,0.04439746300211417,1.7321199552171402,2838,126,1.0,0.0,0.0,0.0,0.01,28,27,0.0,,,,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,catboost,False,0.0,221,1,
2813,0.03590472804834696,0.0707768412439531,0.6880384941148983,1.971240142764753,0.03431424203442824,0.01125458654257961,0.02085205070362988,0.009495982468955442,2.1958813394822543,26,75,0.0707768412439531,0.03590472804834696,1.971240142764753,2813,101,1.0,0.005245975981143358,0.019801980198019802,0.07142857142857142,0.01,28,26,0.038461538461538464,-2.0,-256.915,1.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,catboost,False,0.0,221,1,
158,0.04430379746835443,0.07360212092777582,0.5752128666035952,1.66130501522694,0.04281848016094371,0.02929169093892034,,,,0,7,0.07360212092777582,0.04430379746835443,1.66130501522694,158,7,1.0,0.0,0.0,0.0,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,catboost,False,0.0,221,1,
